V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-172.8
0.5715;-119.7
0.857;-110.4
1;-105.9
1.2;-99.8
1.4;-95.4
1.6;-90.8
1.8;-86.1
2;-82.3
2.2;-77.5
2.4;-74
2.6;-69.8
2.8;-65.5
3;-61.9
3.2;-57
3.4;-51.3
3.6;-46.3
3.8;-41.1
4;-33.6
4.2;-26.2
4.4;-15.7
4.516;-7.7
4.603;0.6
4.665;10.1
4.6975;14.2
4.773;30.5
4.795;35.2
4.832;55.3
4.852;70.4
4.872;112.6
4.892;143.5
4.912;159.2
4.932;168.8
4.9595;177.3
4.9995;186.4
5.0475;193.8
5.1225;202.5
5.217;210
5.361;218.6
5.542;226.4
5.742;232.9
5.942;238.1
6.142;242.1
6.342;245.7
6.542;249.2
6.742;251.7
6.942;253.9
7.142;256.4
7.342;258.3
7.542;260.1
7.742;261.8
7.942;263.6
8.142;264.9
8.342;266.3
8.542;267.5
8.742;268.8
8.942;269.9
9.142;271.1
9.342;272
9.542;273.1
9.742;274.2
9.942;275
10;275

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;19.49
1.6;22.59
1.8;21.24
2;20.88
2.2;20.52
2.4;19.73
2.6;20.11
2.8;21.28
3;22
3.2;23.85
3.4;25.18
3.6;27.58
3.8;30.95
4;36.15
4.2;48.75
4.4;75.13
4.516;101.06
4.603;140.81
4.665;190.47
4.6975;246.33
4.773;482.07
4.795;558.18
4.832;778.98
4.852;992.06
4.872;1081.39
4.892;1013.49
4.912;738.81
4.932;633.85
4.9595;499.43
4.9995;299.17
5.0475;188.04
5.1225;125.5
5.217;88.73
5.361;59.59
5.542;40.22
5.742;29.12
5.942;23.09
6.142;18.91
6.342;16.32
6.542;14.38
6.742;12.81
6.942;11.43
7.142;10.35
7.342;9.55
7.542;9.04
7.742;8.25
7.942;7.55
8.142;7.09
8.342;6.62
8.542;6.16
8.742;5.8
8.942;5.71
9.142;5.49

V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-173.4
0.5715;-121.3
0.857;-109.2
1;-104.3
1.2;-99.6
1.4;-94.2
1.6;-88.7
1.8;-82.9
2;-79.4
2.2;-74.1
2.4;-69.4
2.6;-66.2
2.8;-62
3;-56.6
3.2;-51.4
3.4;-45.1
3.6;-39.2
3.8;-31.1
3.9935;-21.3
4.1215;-14
4.2465;-2.9
4.304;5.3
4.339;9.3
4.4265;33.1
4.4465;36.2
4.4965;67.8
4.5165;104
4.5365;141.7
4.5565;157.7
4.58;169.2
4.6065;177.9
4.643;186.5
4.69;193.7
4.7705;202.5
4.8725;211.1
4.9975;218.6
5.1815;226
5.3815;233
5.5815;237.7
5.7815;242.6
5.9815;245.5
6.1815;249.2
6.3815;252
6.5815;254.4
6.7815;256.5
6.9815;258.3
7.1815;260.2
7.3815;261.8
7.5815;263.7
7.7815;264.8
7.9815;266.6
8.1815;268.1
8.3815;269.4
8.5815;270.1
8.7815;271.4
8.9815;272.4
9.1815;273.5
9.3815;274.6
9.5815;275.6
9.7815;276.6
9.9815;277.1
10;277.5

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;22.19
1.6;24.8
1.8;24.81
2;23.26
2.2;21.52
2.4;20.71
2.6;21.52
2.8;22.92
3;24.22
3.2;27.61
3.4;31.13
3.6;35.89
3.8;45.96
3.9935;67.24
4.1215;93.75
4.2465;154.96
4.304;224.88
4.339;283.51
4.4265;550.3
4.4465;594.77
4.4965;829.52
4.5165;986.7
4.5365;981.07
4.5565;734.71
4.58;574.55
4.6065;507.58
4.643;326.07
4.69;195.63
4.7705;125.69
4.8725;85.55
4.9975;60.8
5.1815;40.64
5.3815;29.11
5.5815;23.03
5.7815;19.5
5.9815;16.9
6.1815;14.61
6.3815;13.01
6.5815;11.24
6.7815;10.37
6.9815;9.03
7.1815;8.56
7.3815;8.24
7.5815;8.16
7.7815;7.69
7.9815;7.11
8.1815;6.52
8.3815;5.92
8.5815;5.57
8.7815;5.15
8.9815;5.37
9.1815;5.4

V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-176.7
0.5715;-123
0.857;-111.3
1;-108
1.2;-101.8
1.4;-96.6
1.6;-92.1
1.8;-87.5
2;-82.6
2.2;-78.4
2.4;-75.5
2.6;-70.8
2.8;-67.3
3;-62.6
3.2;-58
3.4;-53
3.6;-47.9
3.8;-41.6
4;-35.2
4.2;-27
4.39;-17.4
4.519;-7.4
4.5865;-1.5
4.668;9.2
4.7085;15.8
4.7485;24.3
4.7775;32
4.8015;40.9
4.8215;51.6
4.8415;66.6
4.8615;115
4.8815;146.1
4.9015;162.6
4.9215;171.9
4.9515;181.2
4.9905;189.8
5.0415;197.9
5.11;205.7
5.2105;214.8
5.321;220.9
5.521;229.8
5.721;236.7
5.921;241.4
6.121;245.3
6.321;249.1
6.521;252.2
6.721;254.8
6.921;257.4
7.121;259.8
7.321;261.5
7.521;263.7
7.721;265.1
7.921;266.9
8.121;268.4
8.321;269.4
8.521;271.1
8.721;272.5
8.921;273.4
9.121;274.5
9.321;275.6
9.521;276.8
9.721;277.7
9.921;278.4
10;278.8

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;20.66
1.6;23.05
1.8;22.46
2;20.68
2.2;19.96
2.4;19.56
2.6;19.76
2.8;20.57
3;22.33
3.2;23.86
3.4;25.19
3.6;27.44
3.8;31.05
4;37.34
4.2;49.88
4.39;73.16
4.519;102
4.5865;128.03
4.668;180.41
4.7085;234.84
4.7485;379.23
4.7775;510.58
4.8015;657.63
4.8215;887.65
4.8415;1187.73
4.8615;1284.37
4.8815;1036.86
4.9015;773.53
4.9215;664.27
4.9515;495.94
4.9905;300.38
5.0415;186.32
5.11;128.15
5.2105;89.1
5.321;64.64
5.521;40.69
5.721;28.78
5.921;22.29
6.121;18.63
6.321;15.96
6.521;14.26
6.721;13.19
6.921;11.75
7.121;10.54
7.321;9.85
7.521;8.85
7.721;8.01
7.921;7.66
8.121;7.31
8.321;6.78
8.521;6.44
8.721;6.03
8.921;5.9
9.121;5.56

V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-172.8
0.5715;-119.6
0.857;-108.9
1;-104.3
1.2;-98.7
1.4;-93.5
1.6;-88.4
1.8;-83.8
2;-79.9
2.2;-74.6
2.4;-70.2
2.6;-65.8
2.8;-60.9
3;-56
3.2;-50.7
3.4;-44.8
3.6;-37.7
3.8;-29
3.9705;-20.6
4.1145;-10
4.187;-3.2
4.254;3.9
4.3195;15.1
4.349;22.4
4.371;29.4
4.391;36.8
4.411;46.5
4.431;63.3
4.451;113.5
4.471;146.8
4.491;162.5
4.5125;172.8
4.54;181.7
4.576;189.2
4.6365;199.2
4.697;206.5
4.7885;214
4.9325;223
5.098;230
5.298;236.8
5.498;242.2
5.698;246.4
5.898;250
6.098;253
6.298;256.1
6.498;258
6.698;260.6
6.898;262.4
7.098;264.6
7.298;266.2
7.498;267.8
7.698;269.2
7.898;270.6
8.098;272.2
8.298;272.9
8.498;274
8.698;275.5
8.898;276.4
9.098;277.2
9.298;278.1
9.498;279.2
9.698;280.1
9.898;281
10;281.1

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;20.84
1.6;23.55
1.8;22.89
2;22.57
2.2;22.51
2.4;22.75
2.6;23.21
2.8;23.82
3;25.27
3.2;27.85
3.4;32
3.6;38.89
3.8;50.9
3.9705;70.26
4.1145;100.9
4.187;128.55
4.254;172.25
4.3195;264.46
4.349;440.56
4.371;564.07
4.391;678.71
4.411;921.66
4.431;1315.81
4.451;1358.1
4.471;1048.5
4.491;801.06
4.5125;668.54
4.54;521.35
4.576;311.91
4.6365;182.54
4.697;130.13
4.7885;92.01
4.9325;61.19
5.098;42.53
5.298;30.17
5.498;23.59
5.698;19.13
5.898;16.49
6.098;14.16
6.298;12.71
6.498;11.62
6.698;10.68
6.898;9.82
7.098;8.94
7.298;8.57
7.498;7.71
7.698;7
7.898;6.42
8.098;6.23
8.298;5.85
8.498;5.43
8.698;5.12
8.898;4.97
9.098;5.04

V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-177.2
0.5715;-120
0.857;-108.2
1;-106.7
1.2;-99.5
1.4;-95.1
1.6;-91.6
1.8;-86.2
2;-80.3
2.2;-77.6
2.4;-73
2.6;-69.1
2.8;-65.2
3;-60.6
3.2;-55.8
3.4;-50.3
3.6;-44.5
3.8;-37.3
4;-31
4.2;-21.1
4.3325;-13.8
4.4605;-1.7
4.5105;3.5
4.5785;14.1
4.6135;22.5
4.635;26.6
4.688;47.8
4.708;57.8
4.728;86
4.748;135.9
4.768;156.1
4.788;167.5
4.813;177.5
4.842;184.7
4.893;194.4
4.949;201.8
5.0355;210.4
5.142;217.7
5.3105;225.3
5.5105;232.9
5.7105;238.9
5.9105;243.4
6.1105;247
6.3105;250.8
6.5105;253.2
6.7105;255.9
6.9105;258.4
7.1105;260.4
7.3105;262.1
7.5105;264.1
7.7105;265.7
7.9105;267.2
8.1105;268.6
8.3105;270
8.5105;271.1
8.7105;272.3
8.9105;273.4
9.1105;274.8
9.3105;275.8
9.5105;276.7
9.7105;277.6
9.9105;278.4
10;278.8

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;18.56
1.6;22.77
1.8;23.16
2;21.36
2.2;21.21
2.4;20.22
2.6;19.73
2.8;20.93
3;23.76
3.2;25.04
3.4;27.78
3.6;29.92
3.8;34.84
4;43.72
4.2;62.85
4.3325;85.59
4.4605;134.4
4.5105;169.16
4.5785;262.54
4.6135;381.44
4.635;425.95
4.688;742.36
4.708;879.51
4.728;1162.7
4.748;1175.77
4.768;937.39
4.788;704.57
4.813;583.23
4.842;417.63
4.893;224.54
4.949;151.96
5.0355;104.12
5.142;73.7
5.3105;48.34
5.5105;33.47
5.7105;25.48
5.9105;20.82
6.1105;17.58
6.3105;15.09
6.5105;13.35
6.7105;12.09
6.9105;10.92
7.1105;9.92
7.3105;9.27
7.5105;8.44
7.7105;7.87
7.9105;7.39
8.1105;6.71
8.3105;6.25
8.5105;6.15
8.7105;5.97
8.9105;5.78
9.1105;5.54

V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-171.6
0.5715;-120.4
0.857;-109.7
1;-104.9
1.2;-98.7
1.4;-93.5
1.6;-89.6
1.8;-84.5
2;-80
2.2;-76
2.4;-71.4
2.6;-67.2
2.8;-63
3;-58.1
3.2;-52.9
3.4;-47.1
3.6;-41.8
3.8;-35
4;-25.5
4.14;-18.4
4.2925;-8.1
4.3805;0.6
4.4345;5.8
4.521;23.8
4.541;27.1
4.591;50.6
4.611;63.2
4.631;99.5
4.651;140.7
4.671;158.9
4.691;169.4
4.718;178.5
4.754;187.1
4.8015;195.7
4.8605;202.8
4.959;211.8
5.074;219.4
5.2435;227.5
5.4435;234.9
5.6435;240
5.8435;244.4
6.0435;247.9
6.2435;251.1
6.4435;254.1
6.6435;256.5
6.8435;258.7
7.0435;260.7
7.2435;262.7
7.4435;264.4
7.6435;266.1
7.8435;267.5
8.0435;269.1
8.2435;270.3
8.4435;271.4
8.6435;272.7
8.8435;273.8
9.0435;274.9
9.2435;275.9
9.4435;276.9
9.6435;277.7
9.8435;278.6
10;279.3

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;21.22
1.6;23.01
1.8;22.06
2;21.48
2.2;21.43
2.4;21.44
2.6;21.91
2.8;23.07
3;23.85
3.2;25.6
3.4;28.33
3.6;32.32
3.8;39.53
4;52.27
4.14;69.03
4.2925;108.98
4.3805;154.91
4.4345;221.98
4.521;451.84
4.541;534.89
4.591;794.2
4.611;898.21
4.631;1035.28
4.651;1112.63
4.671;853.08
4.691;676.26
4.718;540.13
4.754;350
4.8015;206.8
4.8605;142.55
4.959;96.84
5.074;68.76
5.2435;46.09
5.4435;31.67
5.6435;23.81
5.8435;19.41
6.0435;16.48
6.2435;14.47
6.4435;13.14
6.6435;11.77
6.8435;10.75
7.0435;9.72
7.2435;9.05
7.4435;8.57
7.6435;7.88
7.8435;7.27
8.0435;6.71
8.2435;6.33
8.4435;5.97
8.6435;5.76
8.8435;5.46
9.0435;5.27

V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-174.6
0.5715;-118
0.857;-109.6
1;-105.2
1.2;-97.2
1.399;-91.7
1.599;-87.2
1.799;-83.2
1.999;-77.4
2.199;-72.8
2.399;-68.9
2.599;-64.8
2.799;-58.9
2.999;-53.2
3.199;-47.7
3.399;-41
3.599;-33.8
3.799;-23.7
3.9245;-16
4.03;-7.1
4.0995;0.3
4.16;8.8
4.203;17.2
4.232;22.8
4.275;40
4.295;48.9
4.315;64
4.335;107.6
4.355;145.1
4.375;161.3
4.3975;173
4.4215;180.9
4.46;189.8
4.5085;197.5
4.5825;206.5
4.6685;213.9
4.802;222.4
4.9675;230.2
5.1675;236.6
5.3675;242
5.5675;246.3
5.7675;249.8
5.9675;252.9
6.1675;255.6
6.3675;258.2
6.5675;260
6.7675;262.5
6.9675;264.3
7.1675;266.3
7.3675;267.8
7.5675;269.1
7.7675;270.5
7.9675;271.9
8.1675;273.1
8.3675;274.3
8.5675;275.1
8.7675;276.4
8.9675;277.6
9.1675;278.4
9.3675;279.4
9.5675;280.3
9.7675;281.1
9.9675;281.9
10;282

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.399;21.97
1.599;25.96
1.799;22.74
1.999;21.61
2.199;22.62
2.399;23.35
2.599;24.29
2.799;25.24
2.999;28
3.199;31.07
3.399;35.68
3.599;44.53
3.799;63.83
3.9245;84.04
4.03;117.86
4.0995;155.45
4.16;213.84
4.203;321.9
4.232;429.74
4.275;682.59
4.295;822.95
4.315;1088.88
4.335;1287.92
4.355;1121.37
4.375;803.33
4.3975;657.28
4.4215;545.01
4.46;328.28
4.5085;197.83
4.5825;130.89
4.6685;93.54
4.802;63.91
4.9675;43.84
5.1675;30.51
5.3675;23.26
5.5675;19.04
5.7675;16.13
5.9675;14.24
6.1675;12.59
6.3675;11.64
6.5675;10.91
6.7675;10.09
6.9675;9.25
7.1675;8.47
7.3675;7.74
7.5675;7.03
7.7675;6.56
7.9675;6.07
8.1675;5.98
8.3675;5.72
8.5675;5.44
8.7675;5.29
8.9675;5.15
9.1675;4.95

V [mL];0.1 g THAM/TRIS TitrationEQP1 E
0;-175
0.5715;-122.5
0.857;-108.8
1;-106.2
1.2;-99.9
1.4;-95.2
1.6;-90.6
1.8;-86.1
2;-81.9
2.2;-77.8
2.4;-73.2
2.6;-69.9
2.8;-65.3
3;-61.2
3.2;-54.5
3.4;-50.5
3.6;-44.5
3.8;-39.2
4;-30.9
4.189;-21.8
4.329;-12.8
4.4245;-4.6
4.4935;2.3
4.563;11
4.6135;22
4.6345;25.4
4.687;45.7
4.707;56
4.727;76.7
4.747;126.7
4.767;151.4
4.787;164.2
4.8115;174.6
4.8395;181.7
4.8925;191.5
4.952;199.7
5.0295;207.2
5.1465;215
5.321;224.2
5.5135;232
5.7135;236.5
5.9135;241.5
6.1135;245.1
6.3135;248.3
6.5135;251.7
6.7135;254.1
6.9135;256.3
7.1135;258.5
7.3135;260.4
7.5135;262.5
7.7135;264.1
7.9135;265.6
8.1135;266.9
8.3135;268.2
8.5135;269.6
8.7135;270.4
8.9135;271.6
9.1135;272.8
9.3135;274
9.5135;275
9.7135;275.7
9.9135;276.9
10;277.2

V [mL];0.1 g THAM/TRIS TitrationEQP1 dE/dV
1.4;20.05
1.6;21.63
1.8;21.93
2;20.73
2.2;19.97
2.4;20.53
2.6;21.27
2.8;22.76
3;23.57
3.2;24.74
3.4;26.62
3.6;29.03
3.8;34.49
4;44.38
4.189;63.36
4.329;84.98
4.4245;115.86
4.4935;150.78
4.563;220.86
4.6135;361.38
4.6345;413.71
4.687;721.89
4.707;835.07
4.727;1063.3
4.747;1182.4
4.767;947.2
4.787;720.46
4.8115;608.26
4.8395;451.2
4.8925;236.67
4.952;153.52
5.0295;108.2
5.1465;74.28
5.321;48.3
5.5135;33.13
5.7135;24.95
5.9135;20.13
6.1135;16.96
6.3135;15.24
6.5135;13.86
6.7135;12.17
6.9135;11.26
7.1135;10.28
7.3135;9.44
7.5135;8.82
7.7135;8.13
7.9135;7.28
8.1135;6.55
8.3135;5.97
8.5135;5.83
8.7135;5.8
8.9135;5.57
9.1135;5.42

