V [mL];Potassium hydrogen phthalate TitrationEQP1 E
0;180.9
0.005;180.4
0.01;180.3
0.0225;180
0.0535;178.7
0.131;175.7
0.231;171.6
0.331;167.7
0.431;163.8
0.531;160.4
0.631;156.9
0.731;153.7
0.831;150.6
0.931;147.7
1.031;145
1.131;142.1
1.231;139.8
1.331;137.2
1.431;134.8
1.531;132.6
1.631;130.4
1.731;128.2
1.831;126.1
1.931;123.9
2.031;121.8
2.131;119.7
2.231;117.4
2.331;115.4
2.431;113.2
2.531;111.2
2.631;108.8
2.731;106.6
2.831;104.5
2.931;102
3.031;99.6
3.131;97.1
3.231;94.8
3.331;92
3.431;89.2
3.531;86.3
3.631;83
3.731;79.2
3.831;75.2
3.931;71.1
4.031;66
4.127;60.1
4.196;54.8
4.2465;50.2
4.2945;45.1
4.334;40.3
4.371;35.1
4.4005;29.4
4.4195;24.9
4.4375;20.6
4.4575;14.9
4.4725;8.6
4.481;4.5
4.4895;0.2
4.499;-6.8
4.504;-10.9
4.5095;-17.9
4.5145;-27.4
4.5195;-48
4.5245;-73.6
4.5295;-95.9
4.5345;-107.5
4.5395;-117.1
4.5445;-123.9
4.55;-130
4.5555;-135.2
4.5615;-139.8
4.5695;-144.7
4.5795;-149.9

V [mL];Potassium hydrogen phthalate TitrationEQP1 dE/dV
0.131;-39.75
0.231;-39.46
0.331;-38.34
0.431;-36.78
0.531;-35.12
0.631;-33.03
0.731;-31.55
0.831;-29.92
0.931;-28.57
1.031;-27.24
1.131;-26.18
1.231;-25.06
1.331;-24.1
1.431;-23.12
1.531;-22.36
1.631;-22
1.731;-21.35
1.831;-21.44
1.931;-21.45
2.031;-21.5
2.131;-21.29
2.231;-21.29
2.331;-21.45
2.431;-21.47
2.531;-21.63
2.631;-21.99
2.731;-22.8
2.831;-23.08
2.931;-23.55
3.031;-24.07
3.131;-24.9
3.231;-25.63
3.331;-26.87
3.431;-29.23
3.531;-31.59
3.631;-34.12
3.731;-36.99
3.831;-41.36
3.931;-47.46
4.031;-56.97
4.127;-71.53
4.196;-87.25
4.2465;-103.08
4.2945;-122.79
4.334;-145.52
4.371;-177.41
4.4005;-216.52
4.4195;-251.84
4.4375;-298.98
4.4575;-379.49
4.4725;-480.97
4.481;-577.27
4.4895;-769.52
4.499;-1214.41
4.504;-1471.66
4.5095;-2092.33
4.5145;-2925.29
4.5195;-3642.29
4.5245;-3997.54
4.5295;-3549.64
4.5345;-2679.93
4.5395;-1807.95
4.5445;-1317.13

V [mL];Potassium hydrogen phthalate TitrationEQP1 E
0;179.9
0.005;179.7
0.01;179.6
0.0225;179.2
0.0535;178.1
0.131;175.6
0.231;171.9
0.331;168.7
0.431;165.2
0.531;162.2
0.631;159.3
0.731;156.1
0.831;153.4
0.931;151
1.031;148.6
1.131;146.1
1.231;143.8
1.331;141.4
1.431;139.3
1.531;137.2
1.631;135.2
1.731;133.4
1.831;131.3
1.931;129.4
2.031;127.7
2.131;125.8
2.231;124
2.331;122.3
2.431;120.5
2.531;118.7
2.631;116.8
2.731;115.2
2.831;113.1
2.931;111.5
3.031;109.7
3.131;107.9
3.231;106
3.331;104
3.431;102.1
3.531;100.1
3.631;97.9
3.731;95.8
3.831;93.8
3.931;91.4
4.031;88.9
4.131;86.5
4.231;83.8
4.331;80.8
4.431;77.8
4.531;74.2
4.631;70.4
4.731;66.4
4.831;61.3
4.927;55.6
4.999;50.2
5.0515;45.7
5.1025;40.6
5.1455;35.3
5.1785;30.3
5.206;25.2
5.2275;20.2
5.245;16.2
5.266;9.3
5.277;5.3
5.2895;-0.1
5.299;-6.6
5.304;-10.3
5.3105;-16.1
5.3155;-24.1
5.3205;-32.9
5.3255;-60.2
5.3305;-85.7
5.3355;-102.7
5.3405;-114
5.3455;-121.9
5.3505;-128.4
5.3555;-133.2
5.363;-139.2
5.3705;-144.4
5.379;-149.2
5.3895;-154

V [mL];Potassium hydrogen phthalate TitrationEQP1 dE/dV
0.131;-34.39
0.231;-33.91
0.331;-33.19
0.431;-32.44
0.531;-31.2
0.631;-29.44
0.731;-28.02
0.831;-26.34
0.931;-25.33
1.031;-24.24
1.131;-23.46
1.231;-23.22
1.331;-22.3
1.431;-21.23
1.531;-20.45
1.631;-19.77
1.731;-19.22
1.831;-19.02
1.931;-18.62
2.031;-18.29
2.131;-17.9
2.231;-17.78
2.331;-17.72
2.431;-17.97
2.531;-18.01
2.631;-18.14
2.731;-18.06
2.831;-17.84
2.931;-17.92
3.031;-18.14
3.131;-18.43
3.231;-18.82
3.331;-19.78
3.431;-20.03
3.531;-20.34
3.631;-20.9
3.731;-21.56
3.831;-22.31
3.931;-23.34
4.031;-24.48
4.131;-26.13
4.231;-28.13
4.331;-29.92
4.431;-32.43
4.531;-35.56
4.631;-39.83
4.731;-46.12
4.831;-55.54
4.927;-69.19
4.999;-84.77
5.0515;-100.58
5.1025;-121.49
5.1455;-148.88
5.1785;-178.22
5.206;-214.11
5.2275;-256.11
5.245;-301.54
5.266;-391.95
5.277;-474.89
5.2895;-639.5
5.299;-976.95
5.304;-1241.52
5.3105;-1661.19
5.3155;-2292.86
5.3205;-3196.55
5.3255;-3978.65
5.3305;-3945.62
5.3355;-3221.9
5.3405;-2315.28
5.3455;-1541.72
5.3505;-1214.18

V [mL];Potassium hydrogen phthalate TitrationEQP1 E
0;178.8
0.005;178.4
0.01;178.3
0.0225;177.7
0.0535;176.5
0.131;173
0.231;169.1
0.331;165
0.431;161.2
0.531;157.4
0.631;153.9
0.731;150.8
0.831;147.7
0.931;144.9
1.031;142
1.131;139.4
1.231;136.7
1.331;134.1
1.431;131.6
1.531;129.6
1.631;127.1
1.731;124.9
1.831;122.6
1.931;120.5
2.031;118.3
2.131;116.1
2.231;113.9
2.331;111.7
2.431;109.5
2.531;107.1
2.631;105.1
2.731;102.8
2.831;100.3
2.931;97.9
3.031;95.2
3.131;92.5
3.231;89.6
3.331;86.6
3.431;83.6
3.531;79.7
3.631;75.8
3.731;71.5
3.831;67.1
3.931;60.9
3.995;56
4.048;52
4.1155;45.6
4.158;40.1
4.1855;36.2
4.2175;30.4
4.2395;26.2
4.2635;19.8
4.2775;15.3
4.2905;10.2
4.301;5.9
4.313;-0.6
4.32;-4.7
4.3285;-13.1
4.3335;-19.9
4.3385;-34.2
4.3435;-66.2
4.3485;-90.2
4.3535;-108
4.3585;-119.1
4.3635;-125.7
4.37;-133.6
4.375;-138.2
4.3825;-143.2
4.393;-149.9
4.401;-153.7

V [mL];Potassium hydrogen phthalate TitrationEQP1 dE/dV
0.131;-41.83
0.231;-40.85
0.331;-39.42
0.431;-37.72
0.531;-35.56
0.631;-33.65
0.731;-31.36
0.831;-29.61
0.931;-28.25
1.031;-27.7
1.131;-26.73
1.231;-25.69
1.331;-24.7
1.431;-23.81
1.531;-23.13
1.631;-22.48
1.731;-22.22
1.831;-22.13
1.931;-22.06
2.031;-21.61
2.131;-22.01
2.231;-22.09
2.331;-22.08
2.431;-22.1
2.531;-22.21
2.631;-22.65
2.731;-23.33
2.831;-24.32
2.931;-25.63
3.031;-26.61
3.131;-27.64
3.231;-29.29
3.331;-31.73
3.431;-33.64
3.531;-36.37
3.631;-40.59
3.731;-46.31
3.831;-54.49
3.931;-67.45
3.995;-80.05
4.048;-93.8
4.1155;-120.72
4.158;-145.98
4.1855;-168.86
4.2175;-209.66
4.2395;-249.59
4.2635;-310.35
4.2775;-367.79
4.2905;-450.27
4.301;-554.8
4.313;-893.28
4.32;-1165.05
4.3285;-1911.39
4.3335;-2519.17
4.3385;-3322.94
4.3435;-4182.99
4.3485;-4128.43
4.3535;-3204.6
4.3585;-2173.48
4.3635;-1498.36

V [mL];Potassium hydrogen phthalate TitrationEQP1 E
0;179.1
0.005;178.9
0.01;178.8
0.0225;178.4
0.0535;177.4
0.131;174.9
0.231;171.3
0.331;168.1
0.431;165.1
0.531;161.6
0.631;158.8
0.731;156.1
0.831;153.5
0.931;150.8
1.031;148.4
1.131;146.1
1.231;143.8
1.331;141.6
1.431;139.5
1.531;137.4
1.631;135.3
1.731;133.6
1.831;131.7
1.931;129.7
2.031;128
2.131;126.3
2.231;124.4
2.331;122.6
2.431;120.8
2.531;119.2
2.631;117.5
2.731;115.6
2.831;114
2.931;112.3
3.031;110.7
3.131;108.9
3.231;107
3.331;105.1
3.431;103.4
3.531;101.4
3.631;99.5
3.731;97.6
3.831;95.4
3.931;93.2
4.031;91.1
4.131;88.7
4.231;86.3
4.331;83.7
4.431;81
4.531;77.7
4.631;74.6
4.731;71
4.831;66.9
4.931;62.4
5.031;56.9
5.1115;51.8
5.181;46.4
5.2335;41
5.2705;36.9
5.312;31.2
5.342;26.5
5.37;20.5
5.387;16.3
5.4045;11.3
5.4195;5.6
5.43;1.2
5.4405;-2.8
5.455;-15.4
5.46;-19.5
5.4665;-33.4
5.4715;-56.1
5.4765;-85.4
5.4815;-102.9
5.4865;-114.2
5.4915;-122.2
5.4965;-130
5.5015;-134.3
5.512;-142.8
5.5185;-146.8
5.5295;-152.7
5.54;-157.2

V [mL];Potassium hydrogen phthalate TitrationEQP1 dE/dV
0.131;-33.3
0.231;-33.46
0.331;-32.85
0.431;-31.48
0.531;-30.12
0.631;-28.67
0.731;-27.4
0.831;-25.95
0.931;-24.71
1.031;-24.08
1.131;-23.09
1.231;-22.41
1.331;-21.63
1.431;-20.88
1.531;-20.21
1.631;-19.59
1.731;-18.91
1.831;-18.4
1.931;-18.08
2.031;-18.13
2.131;-18.12
2.231;-17.63
2.331;-17.6
2.431;-17.61
2.531;-17.4
2.631;-17.04
2.731;-16.88
2.831;-16.87
2.931;-17.21
3.031;-17.32
3.131;-17.74
3.231;-18.37
3.331;-18.53
3.431;-18.74
3.531;-19.1
3.631;-19.61
3.731;-20.38
3.831;-21.16
3.931;-21.86
4.031;-22.6
4.131;-23.78
4.231;-25.14
4.331;-26.92
4.431;-29.04
4.531;-31.23
4.631;-34.23
4.731;-37.84
4.831;-42.56
4.931;-50.02
5.031;-61.88
5.1115;-75.69
5.181;-93.93
5.2335;-114.03
5.2705;-133.14
5.312;-165.12
5.342;-198.72
5.37;-243.07
5.387;-290.2
5.4045;-358.65
5.4195;-455.86
5.43;-577.51
5.4405;-773.53
5.455;-1713.79
5.46;-2040.13
5.4665;-2731.71
5.4715;-3388.93
5.4765;-3746.02
5.4815;-3266.64
5.4865;-2499.86
5.4915;-1693.49
5.4965;-1309.71

